Recipe,Amount,Ingredient,Type,Cook Time (minutes),Substitute,Website
Cheese Tortelline in Creamy Marinara,16 oz,Cheese Tortellini,Noodle,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,28 oz,Fire Roasted Tomatoes,Vegetable,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,2 Tbsp,Olive Oil,Oil,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,1 Tbsp,Balsamic Vinegar,Vinegar,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,2 Tsp,Garlic Powder,Seasoning,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,1 Tsp,Dried Oregano,Seasoning,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,3 Cups,Spinach,Fresh Produce,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,8 Leaves,Basil,Fresh Produce,15,,https://www.acouplecooks.com/cheese-tortellini/
Cheese Tortelline in Creamy Marinara,4 oz,Goat Cheese,Cheese,15,,https://www.acouplecooks.com/cheese-tortellini/
30-Min Beef Stroganoff,1 Tbsp,Canola Oil,Oil,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,1 lb,Skirt Steak,Meat,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,0.25 Cups,Unsalted Butter,Butter,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,1 Whole,White Onion,Vegetable,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,1 lb,Mushrooms,Vegetable,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,3 Tbsp,Flour,Flour,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,1.75 Cups,Chicken Stock,Broth,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,0.25 Cups,Dry White Wine,Vinegar,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,0.5 Cups,Sour Cream,Cream,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,2 Tbsp,Dijon Mustard,Condiment,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,1 Tbsp,Worcestershire Sauce,Condiment,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
30-Min Beef Stroganoff,12 oz,Egg Noodles,Noodle,60,,https://www.countryliving.com/food-drinks/a36868206/beef-stroganoff/
Sesame Meatballs,12 Whole,Cooked Meatballs,Meat,40,,https://www.countryliving.com/food-drinks/a39695014/sesame-chicken-meatballs-recipe/
